,id_card
973,1507097
974,45807
975,978979
976,395819
977,1570250
978,1422956
979,396611
980,844563
981,1422174
982,1505264
983,243140
984,1463344
985,1558715
986,1213039
987,1320393
988,807150
989,978212
990,930743
991,202804
992,1466009
993,1340012
994,278630
995,615293
996,44340
997,835908
998,120259
999,436917
1000,1238624
1001,1366518
1002,159856
1003,647601
1004,765817
1005,1255225
1006,5016
1007,1757296
1008,1634086
1009,197423
1010,716635
1011,561572
1012,811933
1013,1200679
1014,1419180
1015,1414580
1016,921116
1017,743725
1018,397179
1019,1375898
1020,46262
1021,800152
1022,1032574
1023,1422985
1024,35821
1025,112
1026,1731377
1027,1326347
1028,351534
1029,797637
1030,708340
1031,1422794
1032,1120722
1033,403872
1034,294438
1035,1540125
1036,1551139
1037,1003537
1038,358649
1039,499643
1040,386410
1041,628988
1042,113184
1043,1380828
1044,1147878
1045,422365
1046,1765464
1047,924492
1048,1351323
1049,1075682
1050,734831
1051,1142836
1052,1110411
1053,844639
1054,869110
1055,1397950
1056,1724346
1057,998678
1058,682001
1059,1678495
1060,441835
1061,586179
1062,1085116
1063,1493933
1064,793942
1065,978167
1066,978381
1067,1167576
1068,429014
1069,365105
1070,1534673
1071,379934
1072,814995
1073,1625740
1074,1063806
1075,395028
1076,197384
1077,139656
1078,117491
1079,1147606
1080,909535
1081,70747
1082,671269
1083,508408
1084,1625801
1085,147303
1086,1251813
1087,1582110
1088,1463452
1089,1493421
1090,608579
1091,642626
1092,859279
1093,1203419
1094,339
1095,31552
1096,940294
1097,1208057
1098,932505
1099,376448
1100,143433
1101,1153800
1102,1306972
1103,867313
1104,28776
1105,112448
1106,1816743
1107,998608
1108,1461815
1109,310220
1110,978619
1111,1122308
1112,1299950
1113,806085
1114,416475
1115,1746191
1116,19408
1117,526526
1118,1422795
1119,1640256
1120,372892
1121,394
1122,663309
1123,310137
1124,1147582
1125,590923
1126,914225
1127,582203
1128,1643278
1129,1342608
1130,1519322
1131,293810
1132,1147636
1133,65606
1134,1157976
1135,165849
1136,167218
1137,1492623
1138,360925
1139,886406
1140,978384
1141,1086205
1142,511358
1143,1109101
1144,1092959
1145,417113
1146,418552
1147,397198
1148,637206
1149,903034
1150,966732
1151,1788334
1152,365877
1153,1422906
1154,921393
1155,1260870
1156,310178
1157,439572
1158,1467761
1159,1126167
1160,156807
1161,744869
1162,317331
1163,1180949
1164,927883
1165,385086
1166,207617
1167,397150
1168,1531242
1169,11094
1170,696668
1171,1422941
1172,1147618
1173,138143
1174,221630
1175,1109222
1176,1809200
1177,1521185
1178,1338478
1179,528071
1180,456676
1181,436826
1182,1262205
1183,1453859
1184,1281551
1185,398816
1186,820656
1187,978271
1188,1502739
1189,342636
1190,1451411
1191,1713280
1192,1110877
1193,1084663
1194,1294214
1195,27704
1196,287872
1197,93376
1198,1152301
1199,1459369
1200,1012587
1201,1152279
1202,301019
1203,566956
1204,517869
1205,1674939
1206,978311
1207,1203081
1208,978291
1209,507531
1210,1152363
1211,1277216
1212,967863
1213,1071957
1214,1527922
1215,1070878
1216,185174
1217,1229401
1218,890728
1219,76106
1220,153468
1221,1354174
1222,840873
1223,177601
1224,1116323
1225,1380023
1226,639394
1227,681846
1228,394491
1229,1515567
1230,1091372
1231,334
1232,195715
1233,49958
1234,460072
1235,978479
1236,1144015
1237,993687
1238,1523683
1239,626733
1240,319815
1241,890747
1242,637722
1243,1233030
1244,848047
1245,525681
1246,906389
1247,1592645
1248,1703385
1249,1903646
1250,1405036
1251,1244170
1252,1587278
1253,1148560
1254,1031492
1255,254319
1256,1634743
1257,713338
1258,666980
1259,592298
1260,407384
1261,1261223
1262,1696458
1263,1561480
1264,1422782
1265,1556007
1266,1247363
1267,345512
1268,520999
1269,728486
1270,1686492
1271,93494
1272,1180441
1273,32560
1274,1103443
1275,561955
1276,1105816
1277,280718
1278,20937
1279,1255111
1280,116780
1281,25299
1282,1420492
1283,235689
1284,1625664
1285,436163
1286,1612858
1287,25321
1288,1839327
1289,697989
1290,1170667
1291,1557143
1292,1001487
1293,890451
1294,228018
1295,460499
1296,1262924
1297,112926
1298,13051
1299,1371567
1300,176130
1301,1153147
1302,421951
1303,532240
1304,1117091
1305,828901
1306,383344
1307,814303
1308,125671
1309,469427
1310,1115935
1311,553114
1312,503148
1313,9939
1314,649744
1315,1850230
1316,978615
1317,675733
1318,226146
1319,310226
1320,185967
1321,1691312
1322,954681
1323,640748
1324,121347
1325,1061551
1326,1064832
1327,710677
1328,902262
1329,1712301
1330,1020683
1331,1072905
1332,1058842
1333,753934
1334,310197
1335,1218953
1336,2748
1337,784792
1338,962038
1339,1625780
1340,868862
1341,921878
1342,491741
1343,1334130
1344,389104
1345,786724
1346,1106455
1347,1329675
1348,1898363
1349,1238778
1350,1049164
1351,782215
1352,899451
1353,1255242
1354,734534
1355,1297832
1356,422000
1357,978378
1358,134140
1359,665128
1360,364705
1361,1449374
1362,978652
1363,1443470
1364,1711199
1365,105200
1366,1147626
